date,predicted_revenue,lower,upper,model
2022-06-30,535817.9530858622,310634.87123239145,761001.034939333,Holt-Winters
2022-07-01,539198.2005871466,314015.1187336758,764381.2824406173,Holt-Winters
2022-07-02,568032.4376173489,342849.3557638781,793215.5194708196,Holt-Winters
2022-07-03,626864.0980426351,401681.01618916437,852047.1798961059,Holt-Winters
2022-07-04,524830.8527773239,299647.77092385315,750013.9346307947,Holt-Winters
2022-07-05,529694.949901286,304511.8680478153,754878.0317547568,Holt-Winters
2022-07-06,538004.6114749121,312821.5296214414,763187.6933283829,Holt-Winters
2022-07-07,511211.5932917839,286028.51143831306,736394.6751452547,Holt-Winters
2022-07-08,514591.84079306823,289408.7589395974,739774.922646539,Holt-Winters
2022-07-09,543426.0778232705,318242.9959697997,768609.1596767412,Holt-Winters
2022-07-10,602257.7382485567,377074.65639508597,827440.8201020275,Holt-Winters
2022-07-11,500224.4929832455,275041.41112977476,725407.5748367163,Holt-Winters
2022-07-12,505088.5901072076,279905.50825373677,730271.6719606784,Holt-Winters
2022-07-13,513398.2516808337,288215.1698273629,738581.3335343045,Holt-Winters
2022-07-14,486605.23349770554,261422.15164423475,711788.3153511763,Holt-Winters
2022-07-15,489985.48099898983,264802.399145519,715168.5628524607,Holt-Winters
2022-07-16,518819.71802919207,293636.6361757213,744002.7998826628,Holt-Winters
2022-07-17,577651.3784544783,352468.2966010076,802834.4603079491,Holt-Winters
2022-07-18,475618.1331891671,250435.05133569633,700801.2150426379,Holt-Winters
2022-07-19,480482.2303131292,255299.1484596584,705665.3121666,Holt-Winters
2022-07-20,488791.8918867553,263608.8100332845,713974.9737402261,Holt-Winters
2022-07-21,461998.8737036271,236815.7918501563,687181.9555570979,Holt-Winters
2022-07-22,465379.12120491144,240196.03935144065,690562.2030583823,Holt-Winters
2022-07-23,494213.3582351137,269030.2763816429,719396.4400885844,Holt-Winters
2022-07-24,553045.0186604,327861.9368069292,778228.1005138707,Holt-Winters
2022-07-25,451011.77339508873,225828.69154161794,676194.8552485595,Holt-Winters
2022-07-26,455875.8705190508,230692.78866558,681058.9523725216,Holt-Winters
2022-07-27,464185.5320926769,239002.4502392061,689368.6139461477,Holt-Winters
2022-07-28,437392.5139095487,212209.4320560779,662575.5957630195,Holt-Winters
2022-07-29,440772.761410833,215589.6795573622,665955.8432643038,Holt-Winters
